week,artist,songs
2009-05-23,Drake,1
2009-05-30,Drake,1
2009-06-06,Drake,1
2009-06-13,Drake,1
2009-06-20,Drake,1
2009-06-27,Drake,1
2009-07-04,Drake,1
2009-07-11,Drake,1
2009-07-18,Drake,1
2009-07-25,Drake,1
2009-08-01,Drake,2
2009-08-08,Drake,2
2009-08-15,Drake,2
2009-08-22,Drake,2
2009-08-29,Drake,2
2009-09-05,Drake,2
2009-09-12,Drake,2
2009-09-19,Drake,2
2009-09-26,Drake,2
2009-10-03,Drake,4
2009-10-10,Drake,4
2009-10-17,Drake,4
2009-10-24,Drake,4
2009-10-31,Drake,4
2009-11-07,Drake,3
2009-11-14,Drake,3
2009-11-21,Drake,3
2009-11-28,Drake,3
2009-12-05,Drake,2
2009-12-12,Drake,2
2009-12-19,Drake,2
2009-12-26,Drake,2
2010-01-02,Drake,2
2010-01-09,Drake,2
2010-01-16,Drake,2
2010-01-23,Drake,2
2010-01-30,Drake,1
2010-02-06,Drake,1
2010-02-13,Drake,1
2010-02-20,Drake,1
2010-02-27,Drake,1
2010-03-06,Drake,1
2010-03-13,Drake,1
2010-03-27,Drake,1
2010-04-03,Drake,1
2010-04-10,Drake,1
2010-04-17,Drake,1
2010-04-24,Drake,1
2010-05-01,Drake,1
2010-05-08,Drake,1
2010-05-15,Drake,1
2010-05-22,Drake,2
2010-05-29,Drake,2
2010-06-05,Drake,2
2010-06-12,Drake,2
2010-06-19,Drake,3
2010-06-26,Drake,3
2010-07-03,Drake,7
2010-07-10,Drake,4
2010-07-17,Drake,3
2010-07-24,Drake,3
2010-07-31,Drake,3
2010-08-07,Drake,3
2010-08-14,Drake,2
2010-08-21,Drake,3
2010-08-28,Drake,3
2010-09-04,Drake,3
2010-09-11,Drake,3
2010-09-18,Drake,3
2010-09-25,Drake,3
2010-10-02,Drake,3
2010-10-09,Drake,3
2010-10-16,Drake,2
2010-10-23,Drake,2
2010-10-30,Drake,2
2010-11-06,Drake,1
2010-11-13,Drake,1
2010-11-20,Drake,1
2010-11-27,Drake,1
2010-12-04,Drake,1
2010-12-11,Drake,1
2010-12-18,Drake,1
2010-12-25,Drake,1
2011-08-06,Drake,1
2011-08-13,Drake,1
2011-08-20,Drake,1
2011-08-27,Drake,2
2011-09-03,Drake,2
2011-09-10,Drake,2
2011-09-17,Drake,2
2011-09-24,Drake,2
2011-10-01,Drake,2
2011-10-08,Drake,2
2011-10-15,Drake,2
2011-10-22,Drake,2
2011-10-29,Drake,3
2011-11-05,Drake,3
2011-11-12,Drake,3
2011-11-19,Drake,3
2011-11-26,Drake,3
2011-12-03,Drake,8
2011-12-10,Drake,4
2011-12-17,Drake,5
2011-12-24,Drake,4
2011-12-31,Drake,4
2012-01-07,Drake,4
2012-01-14,Drake,4
2012-01-21,Drake,4
2012-01-28,Drake,4
2012-02-04,Drake,4
2012-02-11,Drake,4
2012-02-18,Drake,3
2012-02-25,Drake,3
2012-03-03,Drake,3
2012-03-10,Drake,3
2012-03-17,Drake,2
2012-03-24,Drake,2
2012-03-31,Drake,3
2012-04-07,Drake,4
2012-04-14,Drake,4
2012-04-21,Drake,4
2012-04-28,Drake,4
2012-05-05,Drake,4
2012-05-12,Drake,4
2012-05-19,Drake,4
2012-05-26,Drake,4
2012-06-02,Drake,4
2012-06-09,Drake,4
2012-06-16,Drake,4
2012-06-23,Drake,4
2012-06-30,Drake,4
2012-07-07,Drake,4
2012-07-14,Drake,4
2012-07-21,Drake,4
2012-07-28,Drake,3
2012-08-04,Drake,2
2012-08-11,Drake,1
2012-08-18,Drake,1
2013-02-23,Drake,1
2013-03-02,Drake,1
2013-03-09,Drake,1
2013-03-16,Drake,1
2013-03-23,Drake,1
2013-03-30,Drake,1
2013-04-06,Drake,1
2013-04-13,Drake,1
2013-04-20,Drake,1
2013-04-27,Drake,1
2013-05-04,Drake,1
2013-05-11,Drake,1
2013-05-18,Drake,1
2013-05-25,Drake,1
2013-06-01,Drake,1
2013-06-08,Drake,1
2013-06-15,Drake,1
2013-06-22,Drake,1
2013-06-29,Drake,1
2013-07-06,Drake,1
2013-07-13,Drake,1
2013-07-20,Drake,1
2013-08-24,Drake,1
2013-08-31,Drake,1
2013-09-07,Drake,1
2013-09-14,Drake,1
2013-09-21,Drake,1
2013-09-28,Drake,2
2013-10-05,Drake,2
2013-10-12,Drake,12
2013-10-19,Drake,6
2013-10-26,Drake,4
2013-11-02,Drake,3
2013-11-09,Drake,3
2013-11-16,Drake,3
2013-11-23,Drake,2
2013-11-30,Drake,4
2013-12-07,Drake,3
2013-12-14,Drake,4
2013-12-21,Drake,4
2013-12-28,Drake,4
2014-01-04,Drake,4
2014-01-11,Drake,4
2014-01-18,Drake,4
2014-01-25,Drake,4
2014-02-01,Drake,4
2014-02-08,Drake,4
2014-02-15,Drake,4
2014-02-22,Drake,4
2014-03-01,Drake,3
2014-03-08,Drake,3
2014-03-15,Drake,2
2014-03-22,Drake,2
2014-03-29,Drake,1
2014-04-05,Drake,1
2014-08-09,Drake,1
2014-08-16,Drake,1
2014-08-23,Drake,1
2014-08-30,Drake,1
2014-09-06,Drake,1
2014-09-13,Drake,1
2014-09-20,Drake,1
2014-09-27,Drake,1
2014-10-04,Drake,1
2014-10-11,Drake,1
2014-10-18,Drake,1
2014-10-25,Drake,1
2014-11-01,Drake,1
2014-11-08,Drake,1
2014-11-15,Drake,1
2014-11-22,Drake,1
2014-11-29,Drake,1
2014-12-06,Drake,1
2014-12-13,Drake,1
2014-12-20,Drake,1
2015-02-28,Drake,5
2015-03-07,Drake,10
2015-03-14,Drake,5
2015-03-21,Drake,4
2015-03-28,Drake,4
2015-04-04,Drake,4
2015-04-11,Drake,4
2015-04-18,Drake,4
2015-04-25,Drake,4
2015-05-02,Drake,4
2015-05-09,Drake,4
2015-05-16,Drake,4
2015-05-23,Drake,3
2015-05-30,Drake,2
2015-06-06,Drake,2
2015-06-13,Drake,2
2015-06-20,Drake,2
2015-06-27,Drake,2
2015-07-04,Drake,2
2015-07-11,Drake,2
2015-07-18,Drake,1
2015-08-22,Drake,3
2015-08-29,Drake,2
2015-09-05,Drake,2
2015-09-12,Drake,2
2015-09-19,Drake,2
2015-09-26,Drake,2
2015-10-03,Drake,3
2015-10-10,Drake,4
2015-10-17,Drake,4
2015-10-24,Drake,3
2015-10-31,Drake,3
2015-11-07,Drake,3
2015-11-14,Drake,3
2015-11-21,Drake,3
2015-11-28,Drake,3
2015-12-05,Drake,3
2015-12-12,Drake,3
2015-12-19,Drake,3
2015-12-26,Drake,3
2016-01-02,Drake,3
2016-01-09,Drake,2
2016-01-16,Drake,2
2016-01-23,Drake,2
2016-01-30,Drake,2
2016-02-06,Drake,2
2016-02-13,Drake,1
2016-02-20,Drake,2
2016-02-27,Drake,2
2016-03-05,Drake,2
2016-03-12,Drake,2
2016-03-19,Drake,2
2016-03-26,Drake,2
2016-04-02,Drake,2
2016-04-09,Drake,2